question,answer
thank you.,would you have dinner with me?
that sounds delicious.,i know a good chinese restaurant.
bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
turn on the light.,the light is on.
"oh, yes, i really like it.",why do you like it?
did you give him a nose?,of course. we gave him a big carrot for a nose.
i thought you heard.,i really wasn't told anything.
where did you lose it?,i have no idea.
have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
it's supposed to be unlucky.,you're supposed to stay home all day.
i think we should just leave after we fill up on the bread.,they probably wouldn't like that.
i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
"so, did you want to go?","no, thanks, maybe another time."
she's really pretty.,describe her to me.
last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
that sounds good.,"all right, so i'll see you then."
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
what reason do you have for missing school?,i was sick.
they could even crack their head open.,we should stand here till the clean-up person gets here.
have you looked in the mirror?,do you think i'm getting fat?
what happened?,i don't know.
did you do the laundry?,"yes, i did."
they don't believe us?,no. they can only give a ticket if they see it happen.
that's a good deal.,"yes, even though some of the potatoes had eyes."
you might be right.,do pimples run in your family?
he should act his age.,but a lot of old people are still interested in dating.
what do you mean?,a team of doctors gave her a whole new face.
did you like it?,i loved it. i want to live there.
but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
you need to get a lot of lessons when you're really young.,forget it. golf sounds more like work than fun.
what happened?,i got laid off because there was no work.
what's the matter?,maybe i left the burner on.
me too. they canceled their other news magazines.,so did mine!
put on a coat and tie.,why?
what did you do?,i turned up the volume.
but i love pizza.,everybody loves pizza.
you can see the stars so much more clearly after it rains.,i would love for it to rain today.
"like keep your left arm straight, keep your head down, and follow through.",yikes! who can remember all that?
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
"i apologize, but i'm getting off the phone now.",okay.
"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
i am really excited for you.,are you really?
that's what i need to do.,he'll give you a prescription for glasses.
he's going to kill someone.,look! he just hit that car.
"really, where did you get it?",i got it from macy's.
my husband died.,i'm sorry for you.
teaching is a great job.,it's the best job i've ever had.
what difference does it make?,female singers are supposed to be pretty.
she's about five feet even.,"what does she look like, though?"
what's the matter with that?,her mom is a great cook.
"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
i have to be there two hours early.,so we have to be at the airport at 10:15.
what's up?,"nothing much, what's going on?"
"so do i, but i'm worried.",me too. there are no guarantees.
i folded all the towels.,did you put the sheets on the beds?
"thank you very much, that's kind of you.",don't mention it.
i don't really feel too well yet.,do you want anything to make you feel better?
you think i should quit playing.,save your money for school.
i was doing my homework.,the cat doesn't care about your homework.
"he was invited, along with about 90 other veterans.",who invited them?
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
and then you chase it.,and then you hit it again.
don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments."
"no, i always back up my files.",you're smart.
tiger is the greatest golfer in the world.,you can say that again.
how do you know?,because they always do.
this is a great neighborhood.,"yes, it is."
we need to save enough for a down payment.,how much is that?
the internet is amazing.,you can travel all over the world.
and then we can go to my home.,and watch your dvd.
i don't think he even got paid for it.,some people do it just to do it.
"i still have my job, thank goodness.","so do i, but i'm worried."
why? we're already late.,i have to check the stove.
of course.,prove it.
"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
"well, if i have a big test at school.",does god answer your prayers?
"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose."
"would you put suntan lotion on my back, please?",sure.
computers are so cool.,i love to go online.
who's the greatest baseball player?,there are so many great players.
i can't remember jokes.,neither can i.
"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
"no, when i call him on his cell phone.",what do you mean?
"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
actors didn't curse back then.,and there was no violence.
but big earthquakes happen only once in a while.,once in a while is once too many.
eight.,they're all so cute.
i've been good. i'm in school right now.,what school do you go to?
a couple of months ago.,you still miss him.
now it's like riding a bus.,you're jammed in with people all around you.
a recent fire destroyed 85 homes.,"still, it's safer than florida."
the street isn't wet.,i have to go shopping today.
exactly what?,all i get is a black screen.
"her face is really fat, but they say the swelling will go down.",and then will she look normal again?
can't we hire more police?,no. it costs too much money.
"well, the democratic party says it was an honest election.",of course they say thatÂ—their man won!
i enjoy rock and r&b.,why is that?
do you eat fruits and vegetables every day?,"no, i hate vegetables."
what did you do?,i bought some stock.
even though they're in black and white.,a good story is more important than color.
i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
maybe he ran out of gas.,look! he just got out of the car and started running.
"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
they sure are.,did you hear about the pilot?
how many rich people do you know?,none.
i type too much.,you should take a break.
"""deal or no deal""",tell me you're joking.
did you see the woman with the new face?,did she get a nice job?
i've got to go.,i wasn't done talking to you.
thank you.,you shouldn't lie in the sun for too long.
"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.
i think most jokes are about women.,"oh, really? i think most jokes are about men!"
i mixed them together.,"if the coffee still tastes okay, that's a good idea."
she was a cute 8 pounds 6 ounces.,"wow, how exciting."
how's it going?,i'm doing well. how about you?
and grow a beard?,sure. why not?
sunday means we go to church.,"oh, yeah."
that's true. it is a very funny movie.,you've seen it before? 
the tape recorder is broken.,then you should watch the rerun.
look at all these kittens!,how many are there?
"yes, that will occur next month.",most of them are already broadcasting in digital.
they call him father dollar bill.,"yes, he was on the tv news today."
"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
the baby was 8 pounds 6 ounces.,that's good to hear.
they hope they will go to heaven.,they probably will.
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
"well, i have to go back upstairs anyway.",it's getting later every minute.
you know i don't like crowds.,let's go to an early movie.
"okay, i'll get a bucket.",i'll rinse the car first.
that woman is a very good singer.,"yes, but she looks like a man."
"it's time for your bath, young lady.","but, mom, i'm not dirty."
you think they won't fit?,i think i've put on some weight.
here you go.,do you know why i pulled you over?
i love to go online.,the internet is amazing.
where did you lose it?,i don't know.
but the show will be over.,there will be another show next week.
i took the dog for a walk.,i'll bet he enjoyed his walk.
i don't really want to.,"well, why don't you?"
they like guys with new cars.,i don't have money or a new car.
we can watch my dvd.,and then we can go to my home.
thank you. i just got this outfit the other day.,"really, where did you get it?"
i think we should go out to eat.,that sounds good.
"hi, how are you doing?",i'm fine. how about yourself?
"yes, it's just a couple of screws.",that's nice.
the nation is switching to digital tv.,oh. of course i'm ready.
so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
"yes, but she looks like a man.",what difference does it make?
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
that means it will get hotter.,i am dying from the heat.
you're right. buses don't run late at night.,"number four, it's too crowded."
like what?,i think he closed the bowling alley in the white house.
all they think about is themselves.,maybe we should get rid of him.
we can be there in 20 minutes.,i'll get our fishing rods.
i thought you had an elephant in your house.,you're funny.
would you have dinner with me?,i would like to.
i'm going to take five wipes.,what do you need five of them for?
"and it's deep, too.",i think it's five miles deep.
your chances are very small.,but you can't win if you don't play.
i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
how did we end up in that terrible hotel?,the travel agent gave us a 50-percent discount!
i listen to various types of music.,what genres?
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
to try something new and exciting.,what if i don't like her?
have you tried earplugs?,"they don't work, either."
"yes, he made the home run popular.","everybody loved him, all over the nation."
about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?
now you're thinking.,you'd think a library would be safe from thieves.
you're right. this one does have an extra button.,now all you have to do is sew it on.
i want to get a puppy for my son.,that will make him so happy.
so are we going to buy it?,i'm afraid not.
he changed the game.,"yes, he made the home run popular."
what's your favorite thing to do?,i like to watch people.
i really can't stand going to parties.,"i understand, i guess."
do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
he's never going to make everyone happy.,can you imagine being president?
"okay, i give up.","well, there is one good table."
"if the company goes out of business, i'll have nothing.","oh, you'll have somethingÂ—you'll have a lesson you'll never forget!"
so i should stop thinking?,stop thinking about what the point is.
a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
nothing seems to work.,"all it takes is will power, and you have it."
i can't believe how hot it is.,it's not even noon yet.
and now i'm glad that i didn't.,why's that?
so i'll see you next time.,i'm going to call you soon. 
do you feel better now?,i don't really feel too well yet.
good luck with school.,thank you very much.
yes. i bought a cadillac.,a luxury car.
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
i can't get a single channel.,do you have a digital tv?
i bought it from the macy's at the santa anita mall.,i really like that outfit.
what have you been doing?,i've been working too.
they want to get guns off the street.,who would turn in a gun for $200?
"you think so, how come?","well, superbad is super funny."
why is that?,i really love how rain clears the air.
you think so?,yes. good for you.
rude people are everywhere.,but what can you do?
you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing."
someone had to chop the wood.,and carry it into the house.
a cooking show follows a sewing show.,a travel show follows another travel show.
you know the rules.,i hate the rules! i can't wait till i grow up.
it's only 10 minutes from here.,do we need reservations?
didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.
i never miss the food and drink section.,i gave a subscription to my parents.
poodles bark a lot.,they sure do.
that hotel was terrible.,the worst in the whole world.
i think some fish have blue eyes.,i hope i don't come back as a fish.
i washed the sheets and towels.,what about the pillowcases?
the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
why did they ever let him out?,it's the law. they can't keep him in jail forever.
"no, i haven't.",she's really pretty.
they trust in god.,they hope they will go to heaven.
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you."
it's the law. they can't keep him in jail forever.,why not? everyone knows he's a firebug. he loves to start fires.
where do you want to go?,i think we should go out to eat.
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
i'd better see you there.,all right. i'll see you next time.
they should stay in the woods where they belong.,there's no food in the woods.
are you sure?,"we will be house rich, but cash poor."
"i really wanted you to come, but i understand.","yeah, maybe next time."
have you taken anything for your cold?,"no, i just blow my nose a lot."
you should take a break.,i need to type to make money.
what do you want to do?,i want to get a puppy for my son.
i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
did you take it to a computer shop?,i would if i had the money.
"well, it's your life.",you eat too much chocolate.
maybe i left the burner on.,"no, you didn't. i checked the stove before we left."
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
he's the best man for president.,why's that?
of course.,then i have a job for you in my kitchen.
no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
i feel like chinese.,that sounds delicious.
so? that's a ticket?,"yes, it's a $140 ticket."
what's so hard about hitting a little white ball?,it's hard if you want to do it right.
"no, my sister and i will travel together.","well, you should go online and try to find a good deal."
really? why is it?,because you can see the stars perfectly.
thank you very much.,i wish i had a talent like that.
did you check all your pockets?,i checked all my pockets.
but most of those hurricanes are harmless.,"excuse me. hurricane andrew destroyed 30,000 homes!"
i'm having a party this friday.,"oh, really? that's nice."
"well whatever, i'm glad you came.",so am i.
can i borrow $5?,sure. why do you need it?
why not?,i don't know. maybe i'm not rich enough.
i'm going to have to say that superbad is the best movie ever.,"you think so, how come?"
i don't know. the tag is missing.,ask the clerk.
but i'm listening to it.,"well, listen to it more quietly."
that didn't take long.,you think i should quit playing.
"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
but typing is causing you pain.,maybe i should see a doctor.
it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.
maybe the milk was bad.,it didn't smell bad.
"no, i'm serious.",i don't want to date a blind woman.
i don't understand why you haven't come to visit me.,"lately, i've been quite busy."
two guys got into an argument.,i'll bet they were drinking.
i love peanuts.,"me, too. i love them roasted and salted."
it can be dangerous.,you mean he could drown.
"oh, yeah.",put on a coat and tie.
"i know, it does sound pretty awesome.","well, when does the party start?"
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
sure.,thank you.
"no, the police don't care.",why not?
but that's what pockets are for.,you should carry them in a purse.
of course you are. you ate everything on the table.,i don't like to eat leftovers.
"well, you can't have everything.",i don't think i want to go to your heaven.
what do you mean?,"i mean, keep your belongings close to you."
i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?
shots for what?,so it won't get sick. just like you get shots.
i've been pretty busy myself.,so what have you been up to?
i hate going to parties.,"well, that's okay."
i think he is from outer space.,no human could possibly play golf that well.
"well, hold on a little longer.",i think i'm going to explode.
it's not comfortable.,it seems fine to me.
"yes, they are.",there's a real nice park nearby.
i see that you're pretty talented.,thank you very much.
"hello, may i speak to alice please?",this is she. how's it going?
only 11 percent?,about 50 percent of the time he's traveling.
"also, there aren't enough police.",but there are a lot of police.
it's in california.,is it in northern california?
so what have you been up to?,i've just been working a lot.
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
i got it from macy's.,it's really nice.
maybe the banana was bad.,"no, the banana was delicious."
"if i smelled bad, i could smell me.",i can smell you.
i can't do that.,why not?
tell me when you finish.,i don't think so. you'll just give me more work.
to the grand canyon?,yes. i've never been there.
"so, it's pretty old now.","yes, it is. but it still looks good."
the only thing in my backpack is used books.,but thieves don't know that.
i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
you should have been there. it was intense.,is that right. who ended up winning?
how can i prove it?,take me to dinner.
high school.,i teach high school english.
the streets are clean and quiet.,the neighbors don't party on the weekends.
i saw you looking at that woman.,what woman?
did you read this article?,what article?
your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.
i'm not interested in her.,then why were you looking at her?
"hi, how are you. is alice there?",speaking. what's up?
they go out to the north parking lot.,what do the teachers do?
i tell my students to become a teacher.,teaching is a great job.
anywhere else?,then we went to a jazz club.
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
"no problem, you're welcome.",i will be glad to do the same for you when you're sick.
did you see that car?,"yes, he went through the red light."
"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
i was on a plane.,so?
"yes, that sounds nice.",how about some potato chips?
how much do we need to save?,we need to save enough for a down payment.
when do you have to be at the airport?,i have to be there two hours early.
"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.
why not?,because i'll never find one for such a low price.
"yes, there is.",i feel safe here.
so is everyone else.,but a cop might stop you.
life isn't fair.,it sure isn't.
let me look at our list.,i know that we need milk.
she would laugh at me.,how do you know?
i really like this house.,can we afford it?
i really want it to rain today.,"yeah, so do i."
that's ridiculous!,you don't like pretty women?
"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
"like what, for instance?",i enjoy rock and r&b.
"number three, it doesn't run 24 hours.",you're right. buses don't run late at night.
she said that nothing is more important to me than money.,what did you say?
how many cars?,eleven cars.
what are we going to do?,about what?
even if it's only for a short while.,it's always good to have friends.
you're funny.,what did you say? i think i've gone deaf.
it was hot and sunny every day.,what did you do at night?
"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers."
he's been in jail three times already.,why did they ever let him out?
it's too dangerous for kids and pets.,people need to cover their trash cans.
only if my candidate wins.,"well, he can't win unless you and others vote for him."
did he understand what the problem is?,yes. i told him our doorbell doesn't work.
our team won 101-98.,sounds like it was a close game.
why do you want to move there?,because i want to make a lot of money.
they say they want change.,what kind of change?
the battery was dead.,a good battery would have saved his life.
do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?
then he didn't bother to apologize.,that's rude.
we'd better get ready to go.,it's an upstairs unit.
i turned up the volume.,"that's not what i meant by ""do something."""
rained out?,"yes, rained out."
we can go to the river.,or we can go to the lake.
"no, i haven't. why?",i really want to go to the movies this weekend.
you're talking to her.,i've called you a hundred times today.
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
what else can you do?,i'm a handyman.
so maybe he'll go to jail forever?,i sure hope so.
i'll squeeze the cloth so it's almost dry.,don't rub the numbers off the remote.
i really wish i went to the game.,it was the best game ever.
i'm sleepy.,why don't you go to bed?
what was the score at the end of the game?,our team won 101-98.
"yes, and you have to make a reservation.",that's such a hassle.
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
congratulations on your promotion.,thank you very much.
can't you take medicine or something for it?,"i've tried everything, but nothing works."
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
oh.,"i apologized to her, but i could tell she was still upset."
there's no sugar or cream in it.,"no, it's a taste you have to get used to."
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
"oh, that's so delicious.",we also get leather.
two students from usc.,what happened?
i was not looking at her.,"you were, too."
"yes, i do.",what college do you go to?
really?,"yes. i think when you get old, you begin to smell."
which one do you want?,that one. the one that's all black.
i must not use this finger until the cut heals.,it might take a day or two to heal.
you haven't told me anything yet.,i got a promotion at work earlier this week.
we never have to call the police about anything.,our kids are completely safe.
no human can do that.,somebody should check his birth record.
"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
but a cop might stop you.,"no, he won't. some cars are doing 85."
how much is it?,i don't know. the tag is missing.
it's more like news for kids.,they should have kid reporters.
that sounds like fun. where do you want to go?,i want to cruise to hawaii.
no. that will cost too much money.,so it's better to save money than to have an honest election?
he will solve our problems.,he will end the war.
are you going to go anywhere?,i was thinking of driving to arizona.
"the kids love the house, too.","if we don't buy it, someone else will."
thank you. i just bought these new shoes earlier today.,those are nice. what are they?
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
but his latest fire killed someone.,this time they have charged him with murder.
what kind?,a ham sandwich.
that's not a good start.,then he didn't bother to apologize.
your neighbors will hate you.,"if they don't like it, they can move."
"yes, that's right. it does get boring.","especially if it's the same work, over and over."
no. they said there are some things you can't explain.,so are they going to hold another election?
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
"it's not too much, only about $85.",plus installation?
i used to work in a deli.,how did you like it?
"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
where does he travel to?,"oh, all over the world."
the son gave a nice speech about his father.,"it was long, too."
because you helped make it dirty.,what do you want me to do?
"i had a car problem, so i went online.",did you find a solution?
what would you like to see?,"oh, i don't care. you're the one who wants to go out."
doing what?,i'm going to dinner with my family.
i ate free cheese and meat every day.,that sounds like a great job.
"oh, look. here's another shirt just like it.",does it have a price tag?
cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
so do i.,"i read it once, and i subscribed."
the digital signal is very clear.,"oh, no, it isn't!"
do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
it should be warmer in a few minutes.,it's so nice to have a heated apartment.
"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
i don't have any idea.,you know what you did.
it's on the tip of my finger.,a band-aid might not work.
is that it?,yes. that's all i ever give her.
where's the mustard?,"it's in the fridge, i think."
my car is dirty.,why don't you wash it?
i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
i love your outfit right now.,"well, i think you look nice today too."
why are you yawning?,i'm sleepy.
then i did my laundry.,that takes some time.
really?,"yes, it's just a couple of screws."
are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
it's so nice to have a heated apartment.,how did they survive in the old days?
"still, it's safer than florida.",florida doesn't have earthquakes or fires.
what are you doing?,i'm going to change the light bulb. it burnt out.
our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
"in fact, it's chilly in the apartment, too.",let's turn on the heat.
my back is killing me.,what did you do?
you need a bath every day.,why?
but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
you know what that means.,i forgot.
"it really does, i can't wait.",what time does the party start?
"well, most corporations do think only about money.",he hates democrats and republicans.
because i'll never find one for such a low price.,you're right about that. keep saving your money.
i thought about getting out and taking a taxi home.,what happened at the restaurant?
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.
"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
"no, i don't like nose drops.",they work great.
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
and then they blow smoke out of their mouth.,they think it's cool.
don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
i thought you knew.,i honestly didn't know.
different thingsÂ—not the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
i add some pepper and salt.,i always put cheese in my salads.
being broke is no fun.,even if it's only for a short while.
"you know, that woman with the big boobs.",i was not looking at her.
that's six times a year!,"yes, and it takes about five minutes each time."
what do you mean?,"i mean, it's just coffee."
i bought three pounds of potatoes for a dollar.,that's a good deal.
i want to move to new york.,to the state or the city?
"well, listen to me. you need to buy a ticket now.",but maybe prices will be cheaper in october.
no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.
thirty thousand dollars! that will take forever.,not if we save every penny.
did you hear the news?,what happened?
"before you go to that interview, check yourself.",what's to check?
my dad got to see the beautiful new world war ii monument.,that trip must have cost a lot of money. 
"first of all, he was half an hour late.",that's not a good start.
they forget where they came from.,maybe you should run for office.
i wanted to see if you wanted to come.,"this friday? sorry, i already have plans."
"nothing really, you?",i'm throwing a party next saturday.
i love cheese.,me too.
"well, he's made a few changes.",like what?
the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
"i think i know, because this happened before.",what happened before?
it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
but i got lucky a few minutes later.,you have to be lucky to find a parking space.
they might think that i've got an ipod or laptop in there.,now you're thinking.
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
i think it's five miles deep.,are there fish at the bottom?
thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
how did they survive in the old days?,they had fireplaces.
"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.
of course they match.,"no, they don't. one is black and one is dark blue."
"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
worried about what?,i'm getting married.
i figured that.,it's not too bitter for you?
"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
he might tell me to rest for a while.,he might want to cut you open.
why is that?,i warned her about her new boyfriend. she didn't listen to me.
there's nothing in it.,what do you mean?
why not?,i really can't stand going to parties.
"oh, no, it isn't!",what do you mean?
i had a busy morning.,what did you do?
i'll use a damp cloth.,don't let water get into any of the cracks.
did you even bother to go to school today?,"yeah, i went. did you go?"
i didn't do anything.,"oh yes, you did."
i enjoy drawing and painting.,you know how to draw and paint?
me too.,why do you hate to go outside?
that's okay with me.,i will have a radio in every room of my house.
don't you ever cheat on me.,why would i do that?
what is this world coming to?,who knows? maybe soon we'll have pink bananas.
a tutor helped me get the d!,"so, you didn't become a doctor."
those are nice. what are they?,these are some chucks.
yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
you must be lonely. i will share my friends with you.,that's very nice of you.
then why aren't i having fun?,because you're thinking too much.
he landed on the hood of the car.,did he get off the hood?
the cat doesn't care about anything.,that's the way cats are.
then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
nothing really. how about you?,"a lot, like the party i'm having on friday."
i thought it was next sunday.,"well, you'd better get her something."
i hope we'll catch a foul ball.,bring a jacket.
but what can you do?,you can yell at them.
"if we are good, we will be happy in heaven with god.",that's what many people believe.
"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
